appid	name	release_date	english	developer	publisher	categories	genres	price
10	Counter-Strike	2000-11-01	1	Valve	Valve	Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled	Action	7.19
20	Team Fortress Classic	1999-04-01	1	Valve	Valve	Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled	Action	3.99
30	Day of Defeat	2003-05-01	1	Valve	Valve	Multi-player;Valve Anti-Cheat enabled	Action	3.99
40	Deathmatch Classic	2001-06-01	1	Valve	Valve	Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled	Action	3.99
50	Half-Life: Opposing Force	1999-11-01	1	Gearbox Software	Valve	Single-player;Multi-player;Valve Anti-Cheat enabled	Action	3.99
60	Ricochet	2000-11-01	1	Valve	Valve	Multi-player;Online Multi-Player;Valve Anti-Cheat enabled	Action	3.99
70	Half-Life	1998-11-08	1	Valve	Valve	Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled	Action	7.19
80	Counter-Strike: Condition Zero	2004-03-01	1	Valve	Valve	Single-player;Multi-player;Valve Anti-Cheat enabled	Action	7.19
130	Half-Life: Blue Shift	2001-06-01	1	Gearbox Software	Valve	Single-player	Action	3.99
220	Half-Life 2	2004-11-16	1	Valve	Valve	Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK	Action	7.19
240	Counter-Strike: Source	2004-11-01	1	Valve	Valve	Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK	Action	7.19
280	Half-Life: Source	2004-06-01	1	Valve	Valve	Single-player	Action	0
300	Day of Defeat: Source	2010-07-12	1	Valve	Valve	Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK	Action	7.19
320	Half-Life 2: Deathmatch	2004-11-01	1	Valve	Valve	Multi-player;Valve Anti-Cheat enabled;Includes Source SDK	Action	3.99
340	Half-Life 2: Lost Coast	2005-10-27	1	Valve	Valve	Single-player;Commentary available	Action	0
360	Half-Life Deathmatch: Source	2006-05-01	1	Valve	Valve	Multi-player;Valve Anti-Cheat enabled	Action	0
380	Half-Life 2: Episode One	2006-06-01	1	Valve	Valve	Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available	Action	5.79
400	Portal	2007-10-10	1	Valve	Valve	Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available	Action	7.19
420	Half-Life 2: Episode Two	2007-10-10	1	Valve	Valve	Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available	Action	5.79
440	Team Fortress 2	2007-10-10	1	Valve	Valve	Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available	Action;Free to Play	0
500	Left 4 Dead	2008-11-17	1	Valve	Valve	Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available	Action	7.19
550	Left 4 Dead 2	2009-11-19	1	Valve	Valve	Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available	Action	7.19
570	Dota 2	2013-07-09	1	Valve	Valve	Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled	Action;Free to Play;Strategy	0
620	Portal 2	2011-04-18	1	Valve	Valve	Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available	Action;Adventure	7.19
630	Alien Swarm	2010-07-19	1	Valve	Valve	Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor	Action	0
730	Counter-Strike: Global Offensive	2012-08-21	1	Valve;Hidden Path Entertainment	Valve	Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats	Action;Free to Play	0
1002	Rag Doll Kung Fu	2005-10-12	1	Mark Healey	Mark Healey	Single-player;Multi-player	Indie	5.99
1200	Red Orchestra: Ostfront 41-45	2006-03-14	1	Tripwire Interactive	Tripwire Interactive	Multi-player;Steam Achievements;Valve Anti-Cheat enabled	Action	3.99
1250	Killing Floor	2009-05-14	1	Tripwire Interactive	Tripwire Interactive	Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor	Action	14.99
1300	SiN Episodes: Emergence	2006-05-10	1	Ritual Entertainment	Ritual Entertainment	Single-player;Stats	Action	7.19
1500	Darwinia	2005-07-14	1	Introversion Software	Introversion Software	Single-player	Indie;Strategy	7.19
1510	Uplink	2006-08-23	1	Introversion Software	Introversion Software	Single-player	Indie;Strategy	6.99
1520	DEFCON	2006-09-29	1	Introversion Software	Introversion Software	Single-player;Multi-player	Indie;Strategy	7.19
1530	Multiwinia	2008-09-19	1	Introversion Software	Introversion Software	Single-player;Multi-player;Steam Achievements	Indie	7.19
1600	Dangerous Waters	2006-02-07	1	Sonalysts	Strategy First	Single-player;Multi-player	Strategy	22.99
1610	Space Empires IV Deluxe	2006-02-07	1	Malfador Machinations	Strategy First	Single-player;Multi-player	Strategy	6.99
1630	Disciples II: Rise of the Elves 	2006-07-06	1	Strategy First	Strategy First	Single-player;Multi-player;Co-op	Strategy	4.99
1640	Disciples II: Gallean's Return	2006-07-06	1	Strategy First	Strategy First	Single-player;Multi-player;Co-op	Strategy	4.99
1670	Iron Warriors: T - 72 Tank Command 	2006-07-26	1	Strategy First	Strategy First	Single-player;Multi-player	Strategy	3.99
1690	Space Empires V	2006-10-16	1	Malfador Machinations	Strategy First	Single-player;Multi-player	Strategy	10.99
1700	Arx Fatalis	2007-04-03	1	Arkane Studios	Arkane Studios	Single-player	RPG	2.99
1840	Source Filmmaker	2012-07-10	1	Valve	Valve	Steam Workshop	Animation & Modeling;Video Production	0
1900	Earth 2160	2006-04-01	1	Reality Pump Studios	Topware Interactive;ACE	Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards	Strategy	3.99
1930	Two Worlds Epic Edition	2009-04-30	1	Reality Pump Studios	Topware Interactive	Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support	RPG	6.99
2100	Dark Messiah of Might & Magic	2006-10-25	1	Arkane Studios	Ubisoft	Single-player;Multi-player;Valve Anti-Cheat enabled	Action;RPG	4.29
2200	Quake III Arena	2007-08-03	1	id Software	id Software	Single-player;Multi-player;Steam Cloud	Action	12.99
2210	Quake IV	2011-08-04	1	RavenSoft / id Software	Bethesda Softworks	Single-player;Multi-player;Steam Cloud	Action	12.99
2270	Wolfenstein 3D	2007-08-03	1	id Software	Bethesda-Softworks	Single-player;Steam Cloud	Action	2.99
2280	Ultimate Doom	2007-08-03	1	id Software	id Software	Single-player;Steam Cloud	Action	3.99
2290	Final DOOM	2007-08-03	1	id Software	id Software	Single-player;Steam Cloud	Action	3.99
2300	DOOM II	2007-08-03	1	id Software	id Software	Single-player;Multi-player;Steam Cloud	Action	3.99
2310	QUAKE	2007-08-03	1	id Software	id Software	Single-player;Multi-player;Co-op;Steam Cloud	Action	3.99
2320	QUAKE II	2007-08-03	1	id Software	id Software	Single-player;Multi-player;Co-op;Steam Cloud	Action	3.99
2330	QUAKE II Mission Pack: The Reckoning	2007-08-03	1	Xatrix Entertainment	id Software	Single-player;Multi-player;Steam Cloud	Action	2.49
2340	QUAKE II Mission Pack: Ground Zero	2007-08-03	1	Rogue Entertainment	id Software	Single-player;Multi-player;Steam Cloud	Action	2.49
2350	QUAKE III: Team Arena	2007-08-03	1	id Software	id Software	Single-player;Multi-player;Steam Cloud	Action	12.99
2360	HeXen: Beyond Heretic	2007-08-03	1	Raven Software	id Software	Single-player;Steam Cloud	Action	2.99
2370	HeXen: Deathkings of the Dark Citadel	2007-08-03	1	Raven Software	id Software	Single-player;Steam Cloud	Action	2.99
2390	Heretic: Shadow of the Serpent Riders	2007-08-03	1	Raven Software	id Software	Single-player;Multi-player;Steam Cloud	Action	2.99
2400	The Ship: Murder Party	2006-07-11	1	Outerlight Ltd.	Blazing Griffin Ltd.	Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled	Action;Indie;RPG	0
2450	Bloody Good Time	2010-10-29	1	Outerlight Ltd.	Ubisoft	Single-player;Multi-player;Steam Achievements	Action	4.29
2500	Shadowgrounds	2006-05-08	1	Frozenbyte	Frozenbyte	Single-player;Shared/Split Screen;Steam Trading Cards	Action	3.99
2520	Gumboy - Crazy Adventures???	2006-12-19	1	CINEMAX, s.r.o.	CINEMAX, s.r.o.	Single-player	Casual;Indie	0
2590	Alpha Prime	2007-11-07	1	Black Element	Bohemia Interactive	Single-player	Action	2.99
2600	Vampire: The Masquerade - Bloodlines	2007-03-22	1	Troika Games	Activision	Single-player	Action	14.99
2610	GUN???	2006-10-13	1	Neversoft	Activision	Single-player	Action	9.99
2620	Call of Duty??	2006-10-13	1	Infinity Ward	Activision	Single-player;Multi-player	Action	14.99
2630	Call of Duty?? 2	2006-10-13	1	Infinity Ward;Aspyr (Mac)	Activision;Aspyr (Mac)	Single-player;Multi-player	Action	14.99
2640	Call of Duty: United Offensive	2006-10-13	1	Gray Matter Studios	Activision	Single-player;Multi-player	Action	14.99
2710	Act of War: Direct Action	2008-03-12	1	Eugen Systems	THQ Nordic	Single-player;Multi-player	Action	1.99
2720	ThreadSpace: Hyperbol	2007-07-12	1	Iocaine Studios	Atari	Single-player;Multi-player;Includes level editor	Action;Indie;Strategy	3.99
2780	ARMA: Combat Operations	2008-03-12	1	Bohemia Interactive	Bohemia Interactive	Single-player;Multi-player;Includes level editor	Action	5.99
2800	X2: The Threat	2006-07-21	1	Egosoft	Egosoft	Single-player;Captions available;Steam Cloud	Strategy	4.99
2810	X3: Reunion	2006-07-21	1	Egosoft	Egosoft	Single-player;Captions available;Steam Cloud	Strategy	9.99
2820	X3: Terran Conflict	2008-10-16	1	Egosoft	Egosoft	Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud	Action;Simulation;Strategy	15.99
2840	X: Beyond the Frontier	2010-10-08	1	Egosoft	Egosoft	Single-player;Steam Cloud	Simulation;Strategy	3.49
2850	X: Tension	2010-10-08	1	Egosoft	Egosoft	Single-player;Steam Cloud	Simulation;Strategy	3.49
2870	X Rebirth	2013-11-15	1	Egosoft	Egosoft	Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud	Action;Simulation	24.99
2900	688(I) Hunter/Killer	2006-10-26	1	Sonalysts	Strategy First	Single-player;Multi-player	Strategy	22.99
2910	Fleet Command	2006-10-26	1	Sonalysts	Strategy First	Single-player	Strategy	22.99
2920	Sub Command	2006-10-26	1	Sonalysts	Strategy First	Single-player;Multi-player;Co-op;Includes level editor	Strategy	22.99
2990	FlatOut 2???	2006-12-21	1	Bugbear Entertainment	Strategy First	Single-player	Racing	5.99
3010	Xpand Rally	2006-08-24	1	Techland	Techland	Single-player;Multi-player	Racing	3.99
3020	Call of Juarez???	2007-11-08	1	Techland	Techland Publishing	Single-player;Multi-player;Steam Trading Cards	Action	8.59
3050	Xpand Rally Xtreme	2008-10-08	1	Techland	Techland	Single-player;Multi-player	Racing	3.99
3130	Men of War: Red Tide	2009-11-01	1	1C Entertainment	1C Entertainment;1C-SoftClub	Single-player;Steam Cloud	Strategy	3.99
3170	King's Bounty: Armored Princess	2009-11-19	1	Katauri Interactive	1C Entertainment	Single-player;Steam Cloud	RPG;Strategy	7.99
3230	Genesis Rising	2007-08-06	1	Metamorf	THQ Nordic	Single-player;Multi-player	Strategy	4.49
3260	Safecracker: The Ultimate Puzzle Adventure	2007-08-29	1	Kheops Studio	HandyGames	Single-player	Adventure;Casual	4.49
3270	Painkiller Overdose	2007-10-30	1	Mindware Studios	THQ Nordic	Single-player;Multi-player	Action	4.49
3330	Zuma Deluxe	2006-08-30	1	PopCap Games, Inc.	PopCap Games, Inc.	Single-player	Casual	4.25
3410	Heavy Weapon Deluxe	2006-08-30	1	PopCap Games, Inc.	PopCap Games, Inc.	Single-player	Casual	4.25
3480	Peggle Deluxe	2007-03-06	1	PopCap Games, Inc.	PopCap Games, Inc.	Single-player	Casual	4.25
3483	Peggle Extreme	2007-09-11	1	PopCap Games, Inc.	PopCap Games, Inc.	Single-player	Casual	0
3490	Venice Deluxe	2007-06-25	1	Retro64, Inc.	PopCap Games, Inc.	Single-player	Casual	4.25
3500	Mystery P.I.??? - The Lottery Ticket	2007-10-16	1	SpinTop Games	PopCap Games, Inc.	Single-player	Casual	4.25
3510	Amazing Adventures The Lost Tomb???	2007-12-13	1	SpinTop Games	PopCap Games, Inc.	Single-player	Casual	4.25
3520	Mystery P.I.??? - The Vegas Heist	2008-06-05	1	SpinTop Games	PopCap Games, Inc.	Single-player	Casual	4.25
3530	Amazing Adventures Around the World	2009-04-15	1	SpinTop Games	PopCap Games, Inc.	Single-player	Casual	4.25
3540	Peggle??? Nights	2008-10-15	1	PopCap Games, Inc.	PopCap Games, Inc.	Single-player	Casual	4.25
3560	Bejeweled Twist	2008-11-18	1	PopCap Games, Inc.	PopCap Games, Inc.	Single-player	Strategy;Casual	4.25
3570	Mystery P.I.??? - The New York Fortune	2009-01-28	1	SpinTop Games	PopCap Games, Inc.	Single-player	Casual	4.25
3580	The Wizard's Pen???	2009-02-18	1	PopCap Games, Inc.	PopCap Games, Inc.	Single-player	Casual	4.25
3590	Plants vs. Zombies GOTY Edition	2009-05-05	1	PopCap Games, Inc.	PopCap Games, Inc.	Single-player;Steam Achievements	Strategy	4.25
3600	Escape Rosecliff Island	2009-04-15	1	SpinTop Games	PopCap Games, Inc.	Single-player	Casual	4.25
3610	Mystery P.I. - Lost in Los Angeles	2009-07-27	1	SpinTop Games	PopCap Games, Inc.	Single-player	Casual	4.25
3620	Zuma's Revenge!	2009-09-15	1	PopCap Games, Inc.	PopCap Games, Inc.	Single-player;Steam Achievements;Stats	Action;Casual	4.25
3700	Sniper Elite	2009-07-16	1	Rebellion	Rebellion	Single-player;Steam Trading Cards	Action	5.59
3710	Judge Dredd: Dredd vs. Death	2009-03-26	1	Rebellion	Rebellion	Single-player;Multi-player;Co-op	Action	5.59
3720	Evil Genius	2009-06-22	1	Elixir Studios	Rebellion	Single-player	Strategy	6.99
3730	Aliens versus Predator Classic 2000	2010-01-15	1	Rebellion	Rebellion	Single-player;Multi-player	Action	3.99
3800	Advent Rising	2006-09-14	1	GlyphX Games	Majesco Entertainment	Single-player;Steam Trading Cards	Action	7.19
3810	BloodRayne	2006-09-14	1	Terminal Reality	Majesco Entertainment	Single-player;Steam Trading Cards	Action	6.99
3820	BloodRayne 2	2006-09-14	1	Terminal Reality	Majesco Entertainment	Single-player;Steam Trading Cards	Action	6.99
3830	Psychonauts	2006-10-11	1	Double Fine Productions	Double Fine Productions	Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud	Action	6.99
3900	Sid Meier's Civilization?? IV	2006-10-25	1	Firaxis Games	2K	Single-player;Multi-player;Includes level editor	Strategy	9.99
3910	Sid Meier's Civilization?? III Complete	2006-10-25	1	Firaxis Games	2K	Single-player;Multi-player;Includes level editor	Strategy	2.99
3920	Sid Meier's Pirates!	2005-07-11	1	Firaxis Games	2K	Single-player	RPG	5.99
3960	Shattered Union	2006-10-25	1	PopTop	2K	Single-player;Multi-player	Strategy	2.99
3980	CivCity: Rome	2007-04-06	1	FireFly Studios;Firaxis Games	2K	Single-player	Strategy	5.99
3990	Civilization IV??: Warlords	2007-04-06	1	Firaxis Games	2K	Single-player	Strategy	2.99
4000	Garry's Mod	2006-11-29	1	Facepunch Studios	Valve	Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor	Indie;Simulation	6.99
4100	Poker Superstars II	2006-10-05	1	Funkitron	Funkitron	Single-player	Casual;Strategy;Indie	5.99
4230	RACE - The WTCC Game	2006-11-24	1	SimBin	SimBin	Single-player;Multi-player	Racing	25.99
4290	RACE: Caterham Expansion	2007-06-22	1	SimBin	SimBin	Single-player;Multi-player	Racing	3.99
4300	RoboBlitz	2006-11-07	1	Naked Sky Entertainment	Naked Sky Entertainment	Single-player;Partial Controller Support;Includes level editor	Action;Indie	5.99
4420	Silverfall	2007-03-20	1	Monte Cristo	Focus Home Interactive	Single-player	RPG	7.99
4460	City Life 2008	2008-09-29	1	Monte Cristo	Focus Home Interactive	Single-player	Simulation;Strategy	6.99
4470	Silverfall: Earth Awakening	2008-07-18	1	Monte Cristo	Focus Home Interactive	Single-player;Multi-player	RPG	7.99
4500	S.T.A.L.K.E.R.: Shadow of Chernobyl	2007-03-20	1	GSC Game World	GSC Game World	Single-player;Multi-player	Action;RPG	9.99
4520	Full Spectrum Warrior	2007-07-17	1	Pandemic Studios	THQ Nordic	Single-player;Multi-player;Co-op	Action;Strategy	7.99
4530	Full Spectrum Warrior: Ten Hammers	2007-07-17	1	Pandemic Studios	THQ Nordic	Single-player;Multi-player;Co-op	Action;Strategy	4.99
4560	Company of Heroes - Legacy Edition	2007-07-17	1	Relic Entertainment	SEGA	Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud	Violent;Action;Strategy	0
4570	Warhammer?? 40,000: Dawn of War?? - Game of the Year Edition	2007-08-07	1	Relic Entertainment	SEGA	Single-player;Multi-player;Steam Trading Cards;Steam Cloud	Strategy	9.99
4580	Warhammer?? 40,000: Dawn of War?? - Dark Crusade	2007-08-07	1	Relic Entertainment	SEGA	Single-player;Multi-player;Steam Cloud	Strategy	9.99
4700	Total War: MEDIEVAL II ?€? Definitive Edition	2006-11-15	1	CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux)	SEGA;Feral Interactive (Mac);Feral Interactive (Linux)	Single-player;Multi-player;Steam Trading Cards	Strategy	0
4720	Condemned: Criminal Origins	2012-10-29	1	Monolith	SEGA	Single-player	Action	9.99
4760	Rome: Total War??? - Collection	2007-08-28	1	CREATIVE ASSEMBLY	SEGA	Single-player;Multi-player;Steam Trading Cards	Strategy	8.99
4770	Rome: Total War??? - Alexander	2007-08-28	1	The Creative Assembly	SEGA	Single-player;Multi-player	Strategy	8.99
4780	Medieval II: Total War??? Kingdoms	2007-08-28	1	The Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux)	SEGA;Feral Interactive (Mac);Feral Interactive (Linux)	Single-player;Multi-player	Strategy	0
4800	Heroes of Annihilated Empires	2006-11-22	1	GSC Game World	GSC Game World	Single-player;Multi-player	Strategy	9.99
4850	Cossacks: Back to War	2010-09-02	1	GSC Game World	GSC World Publishing	Single-player;Multi-player	Strategy	3.99
4870	Cossacks: Art of War	2011-08-26	1	GSC Game World	GSC World Publishing	Single-player	Strategy	3.99
4880	Cossacks: European Wars	2011-08-26	1	GSC Game World	GSC World Publishing	Single-player	Strategy	3.99
4890	Cossacks II: Battle for Europe	2011-08-26	1	GSC Game World	GSC World Publishing	Single-player;Multi-player;Online Multi-Player;Local Multi-Player	Strategy	3.99
4900	Zen of Sudoku	2006-12-14	1	Unknown Worlds Entertainment	Unknown Worlds Entertainment	Single-player	Casual;Indie	0
4920	Natural Selection 2	2012-10-30	1	Unknown Worlds Entertainment	Unknown Worlds Entertainment	Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor	Action;Indie;Strategy	6.99
6000	STAR WARS??? Republic Commando???	2009-07-08	1	LucasArts	LucasArts;Lucasfilm;Disney Interactive	Single-player;Multi-player;Local Multi-Player;Steam Cloud	Action	7.19
6010	Indiana Jones?? and the Fate of Atlantis???	2009-07-08	1	LucasArts	LucasArts;Lucasfilm;Disney Interactive	Single-player;Steam Cloud	Adventure	4.79
6020	STAR WARS??? Jedi Knight - Jedi Academy???	2009-09-16	1	Raven Software;Aspyr (Mac)	LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive	Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud	Action	7.19
6030	STAR WARS??? Jedi Knight II - Jedi Outcast???	2009-09-16	1	Raven Software;Aspyr (Mac)	LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive	Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud	Action	7.19
6040	The Dig??	2009-07-08	1	LucasArts	LucasArts	Single-player;Steam Cloud	Adventure	4.79
6060	Star Wars: Battlefront 2 (Classic, 2005)	2009-07-08	1	Pandemic Studios	Lucasfilm;LucasArts;Disney Interactive	Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud	Action	7.19
6080	Thrillville??: Off the Rails???	2009-07-08	1	Frontier	LucasArts	Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud	Action;Adventure;Racing;Simulation;Strategy	7.19
6090	Armed and Dangerous??	2009-07-08	1	Planet Moon Studios	LucasArts;Lucasfilm;Disney Interactive	Single-player;Steam Cloud	Action	4.79
6120	Shank	2010-10-25	1	Klei Entertainment	Klei Entertainment	Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud	Action;Indie	7.19
6200	Ghost Master??	2006-12-21	1	Sick Puppies	Strategy First	Single-player	Strategy	3.99
6210	Vegas: Make It Big???	2006-12-21	1	Deepred	Strategy First	Single-player	Strategy	3.99
6220	FlatOut	2007-02-02	1	Bugbear Entertainment	Strategy First	Single-player;Multi-player	Racing	4.99
6250	Making History: The Calm & the Storm	2007-03-13	1	Muzzy Lane	Strategy First	Single-player;Multi-player	Action;Strategy	3.99
6270	Ducati World Championship	2007-09-21	1	Artematica Entertainment	Strategy First	Single-player;Multi-player	Racing	3.99
6300	Dreamfall: The Longest Journey	2007-01-12	1	Funcom	Funcom	Single-player	Adventure;RPG	13.99
6310	The Longest Journey	2007-05-01	1	Funcom	Funcom	Single-player	Action;Adventure;RPG	5.99
6370	Bloodline Champions	2011-10-28	1	Stunlock Studios	Stunlock Studios	Single-player;Multi-player;MMO	Action;Free to Play;Massively Multiplayer	0
6400	Joint Task Force	2007-03-27	1	Most Wanted Entertainment	HD Publishing	Single-player;Multi-player;Co-op;Shared/Split Screen	Action;Strategy	5.79
6420	Nexus - The Jupiter Incident	2007-07-03	1	Mithis Games;THQ Nordic	HandyGames	Single-player;Multi-player;Includes level editor	Indie;Simulation;Strategy	6.99
6510	Lost Planet???: Extreme Condition	2007-06-29	1	CAPCOM Co., Ltd.	Capcom	Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled	Action;Adventure	9.99
6550	Devil May Cry?? 3 Special Edition	2007-06-12	1	CAPCOM Co., Ltd.	Capcom	Single-player;Partial Controller Support	Action	15.99
6800	Commandos: Behind Enemy Lines	2007-03-15	1	Pyro Studios	Kalypso Media Digital	Single-player;Multi-player;Co-op	Action	3.99
6810	Commandos: Beyond the Call of Duty	2007-03-15	1	Pyro Studios	Kalypso Media Digital	Single-player;Multi-player;Co-op	Action	3.99
6830	Commandos 2: Men of Courage	2007-03-15	1	Pyro Studios	Kalypso Media Digital	Single-player;Multi-player;Co-op	Action	3.99
6840	Commandos 3: Destination Berlin	2007-03-15	1	Pyro Studios	Kalypso Media Digital	Single-player;Multi-player;Co-op	Action	3.99
6850	Hitman 2: Silent Assassin	2007-03-15	1	Io-Interactive A/S	Io-Interactive A/S	Single-player	Action	8.29
6860	Hitman: Blood Money	2007-03-15	1	Io-Interactive A/S	Io-Interactive A/S	Single-player	Action	9.29
6870	Battlestations: Midway	2007-03-15	1	Eidos Interactive	Square Enix	Single-player	Action	4.99
6880	Just Cause	2007-03-15	1	Avalanche Studios	Square Enix	Single-player	Action	4.99
6900	Hitman: Codename 47	2007-03-15	1	IO Interactive A/S	IO Interactive A/S	Single-player	Action	7.19
6910	Deus Ex: Game of the Year Edition	2007-03-29	1	Ion Storm	Square Enix	Single-player;Multi-player	Action	4.99
6920	Deus Ex: Invisible War	2007-03-29	1	Ion Storm	Square Enix	Single-player	Action	4.99
6980	Thief: Deadly Shadows	2007-03-29	1	Ion Storm	Square Enix	Single-player	Action	6.99
7000	Tomb Raider: Legend	2007-03-29	1	Crystal Dynamics	Square Enix	Single-player;Partial Controller Support	Action;Adventure	4.99
7010	Project: Snowblind	2007-03-29	1	Crystal Dynamics	Square Enix	Single-player;Multi-player	Action	3.99
7020	Rogue Trooper	2007-03-29	1	Rebellion	Rebellion	Single-player;Multi-player;Co-op	Action	6.99
7110	Jade Empire???: Special Edition	2007-02-27	1	BioWare Corporation	BioWare Corporation;Electronic Arts	Single-player;Partial Controller Support	RPG	8.99
7200	Trackmania United Forever Star Edition	2008-04-16	1	Nadeo	Ubisoft	Single-player;Multi-player;Includes level editor	Racing	25.99
7210	Runaway, A Road Adventure	2007-03-14	1	Pendulo Studios	Focus Home Interactive	Single-player	Adventure	6.99
7220	Runaway, The Dream of The Turtle	2007-03-14	1	Pendulo Studios	Focus Home Interactive	Single-player	Adventure	6.99
7260	Loki	2007-10-05	1	Cyanide Studios	Focus Home Interactive	Single-player;Multi-player	RPG	6.99
7340	Azada	2010-04-21	1	Big Fish Games	Big Fish Games	Single-player	Casual;Indie	6.99
7510	X-Blades	2009-04-30	1	Gaijin Entertainment	Topware Interactive	Single-player;Steam Trading Cards;Partial Controller Support	Nudity;Violent;Action;Adventure;RPG	6.99
7520	Two Worlds II HD	2011-02-03	1	Reality Pump Studios	Topware Interactive, ACE	Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud	Nudity;Violent;RPG	14.99
7530	Two Worlds II Castle Defense	2011-06-14	1	Reality Pump Studios	Topware Interactive	Single-player;Steam Trading Cards;Steam Cloud	Strategy	6.99
7600	Sid Meier's Railroads!	2007-05-04	1	Firaxis Games;Feral Interactive (Mac)	2K;Feral Interactive (Mac)	Single-player;Multi-player	Strategy	5.99
7610	Railroad Tycoon 3	2007-05-04	1	PopTop	2K	Single-player;Multi-player	Strategy	5.99
7620	Railroad Tycoon II Platinum	2007-05-04	1	PopTop	2K	Single-player	Strategy	2.99
7650	X-COM: Terror From the Deep	2007-05-04	1	MicroProse Software, Inc	2K	Single-player	Strategy	2.99
7660	X-COM: Apocalypse	2008-09-04	1	MicroProse Software, Inc	2K	Single-player	Strategy	2.99
7730	X-COM: Interceptor	2008-09-04	1	MicroProse Software, Inc	2K	Single-player;Multi-player	Strategy	2.99
7760	X-COM: UFO Defense	2008-09-04	1	MicroProse Software, Inc	2K	Single-player	Strategy	2.99
7770	X-COM: Enforcer	2008-09-04	1	MicroProse Software, Inc	2K	Single-player;Multi-player	Strategy	2.99
7830	Men of War???	2009-05-06	1	Best Way	1C Entertainment;1C-SoftClub	Single-player;Multi-player;Steam Cloud;Includes level editor	Strategy	3.99
7840	Death Track??: Resurrection	2009-05-06	1	Sky Fallen	1C Entertainment	Single-player;Steam Cloud	Racing	1.99
7860	NecroVision	2009-05-20	1	The Farm 51	1C Entertainment	Single-player;Multi-player;Steam Cloud	Action	3.99
